дата,описание,сумма,тип
2026-08-01,Зарплата,480000,доход
2026-08-03,Аренда квартиры,145000,расход
2026-08-05,Коммунальные услуги,18500,расход
2026-08-10,Фриланс · проект,75000,доход
2026-08-01,Yandex Go · такси,2281,расход
2026-08-08,Кино · билеты,3047,расход
2026-08-22,Yandex Go · такси,2280,расход
2026-08-19,Yandex Go · такси,1764,расход
2026-08-03,Magnum · продукты,5099,расход
2026-08-18,Magnum · продукты,4985,расход
2026-08-08,Wildberries · одежда,12051,расход
2026-08-26,Аптека,4838,расход
2026-08-23,Кофейня у дома,2059,расход
2026-08-05,Аптека,2778,расход
2026-08-04,Книги,3759,расход
2026-08-12,Yandex Go · такси,2453,расход
2026-08-26,Аптека,2237,расход
2026-08-18,Small · продукты,3419,расход
2026-08-03,Wildberries · одежда,13162,расход
2026-08-19,Книги,4252,расход
2026-08-02,Yandex Go · такси,2151,расход
2026-08-03,Аптека,4794,расход
2026-08-13,Yandex Go · такси,1530,расход
2026-08-06,Книги,5132,расход
2026-08-22,Кино · билеты,3529,расход
2026-08-20,Yandex Go · такси,2109,расход
2026-08-06,Кино · билеты,4267,расход
2026-08-30,Аптека,4116,расход
2026-08-22,Кино · билеты,3746,расход
2026-08-08,Magnum · продукты,8574,расход
2026-08-13,Книги,4625,расход
2026-08-30,Кино · билеты,6084,расход
2026-08-07,Книги,6544,расход
2026-08-29,Wildberries · одежда,17077,расход
2026-08-05,Small · продукты,4024,расход
2026-08-24,Кино · билеты,4642,расход
2026-08-24,Аптека,3941,расход
2026-08-12,Wildberries · одежда,9569,расход
2026-08-17,Кофейня у дома,2193,расход
2026-08-28,Magnum · продукты,4472,расход
2026-09-01,Зарплата,480000,доход
2026-09-03,Аренда квартиры,145000,расход
2026-09-05,Коммунальные услуги,18500,расход
2026-09-10,Фриланс · проект,75000,доход
2026-09-22,Кофейня у дома,2058,расход
2026-09-13,Yandex Go · такси,1698,расход
2026-09-17,Small · продукты,3966,расход
2026-09-22,Magnum · продукты,7991,расход
2026-09-21,Аптека,3172,расход
2026-09-14,Аптека,2598,расход
2026-09-09,Magnum · продукты,9438,расход
2026-09-17,Кофейня у дома,2985,расход
2026-09-21,Аптека,3699,расход
2026-09-05,Кино · билеты,3933,расход
2026-09-18,Кофейня у дома,3062,расход
2026-09-20,Magnum · продукты,5707,расход
2026-09-04,Magnum · продукты,9192,расход
2026-09-08,Аптека,2282,расход
2026-09-03,Yandex Go · такси,2266,расход
2026-09-18,Yandex Go · такси,2321,расход
2026-09-22,Кофейня у дома,2158,расход
2026-09-09,Кофейня у дома,2257,расход
2026-09-07,Wildberries · одежда,17232,расход
2026-09-23,Кино · билеты,3698,расход
2026-09-15,Книги,7753,расход
2026-09-04,Small · продукты,3951,расход
2026-09-11,Yandex Go · такси,1114,расход
2026-09-19,Кино · билеты,3352,расход
2026-09-23,Yandex Go · такси,2102,расход
2026-09-03,Кино · билеты,5942,расход
2026-09-03,Книги,5845,расход
2026-09-22,Аптека,3629,расход
2026-09-19,Кофейня у дома,2349,расход
2026-09-16,Кино · билеты,5572,расход
2026-09-04,Кино · билеты,2886,расход
2026-09-12,Wildberries · одежда,11775,расход
2026-09-02,Small · продукты,5789,расход
2026-09-02,Yandex Go · такси,1732,расход
2026-09-04,Книги,4531,расход
2026-09-18,Кино · билеты,4216,расход
